cian_id,url,object_type,price_month,area_sqm,price_sqm_month,address,district,okrug,metro_station,metro_walk_min,floor,floors_total,building_class,building_type,renovation,has_furniture,has_ac,has_ventilation,ceiling_height_m,photos_count,source
326829055,https://www.cian.ru/rent/commercial/326829055/,Свободное назначение,3600000,4000.0,900.0,"Варшавское, 170Г",Чертаново Южное,ЮАО,Аннино,9.0,1,5,,,,,,,,5,cloudscraper
328558674,https://www.cian.ru/rent/commercial/328558674/,Свободное назначение,480000,400.0,1200.0,"Варшавское, 170Г",Чертаново Южное,ЮАО,Аннино,9.0,1,5,,,,,,,,5,cloudscraper
327533082,https://www.cian.ru/rent/commercial/327533082/,Свободное назначение,160308,73.0,2196.0,"4922-й, 4с4",Старое Крюково,ЗелАО,,,1,4,B,,,False,,,4.5,11,cloudscraper
306607073,https://www.cian.ru/rent/commercial/306607073/,Свободное назначение,7764250,1433.4,5416.7,"Рочдельская, 15С13",Пресненский,ЦАО,Краснопресненская,15.0,1,4,,Бизнес-центр,,,,,,33,cloudscraper
329734088,https://www.cian.ru/rent/commercial/329734088/,Свободное назначение,865275,17.6,49163.4,"Огородный, 4к2",Бутырский,СВАО,Бутырская,4.0,2,56,,,,,,,,25,cloudscraper
329037951,https://www.cian.ru/rent/commercial/329037951/,Свободное назначение,307207,162.4,1891.7,"Смольная, 14",Головинский,САО,Речной вокзал,16.0,1,15,B,Бизнес-центр,,,,,,19,cloudscraper
323315566,https://www.cian.ru/rent/commercial/323315566/,Свободное назначение,1441282,2042.0,705.8,82,,ТАО (Троицкий),,,1,1,,,,,,,,21,cloudscraper
322491104,https://www.cian.ru/rent/commercial/322491104/,Свободное назначение,378015,213.9,1767.3,"2-й Павелецкий, 5С1",Даниловский,ЮАО,,,3,8,B,Бизнес-центр,,,,,,21,cloudscraper
329734077,https://www.cian.ru/rent/commercial/329734077/,Свободное назначение,1046633,19.8,52860.3,"Огородный, 4к2",Бутырский,СВАО,Бутырская,4.0,2,56,,,,,,,,25,cloudscraper
308761689,https://www.cian.ru/rent/commercial/308761689/,Свободное назначение,800000,283.9,2817.9,"Верхняя Масловка, 20С1",Савеловский,САО,Петровский Парк,7.0,-1,8,,,,,,,,34,cloudscraper
329483329,https://www.cian.ru/rent/commercial/329483329/,Свободное назначение,2083334,500.0,4166.7,"Золоторожский Вал, 11С1",Лефортово,ЮВАО,Римская,5.0,1,2,C,,,,,,,15,cloudscraper
319546419,https://www.cian.ru/rent/commercial/319546419/,Свободное назначение,3500000,248.9,14061.9,"Газетный, 1/12",Пресненский,ЦАО,Арбатская,10.0,1,4,,Административное здание,,,,,,3,cloudscraper
328852638,https://www.cian.ru/rent/commercial/328852638/,Свободное назначение,2382142,2041.0,1167.1,"Евсеевская, 15",,НАО (Новомосковский),,,1,1,,,,,,,,14,cloudscraper
328854031,https://www.cian.ru/rent/commercial/328854031/,Свободное назначение,2170667,2024.0,1072.5,82,,ТАО (Троицкий),,,1,1,,,,,,,,15,cloudscraper
326593497,https://www.cian.ru/rent/commercial/326593497/,Свободное назначение,10000,4.6,2173.9,"1-я Фрезерная, 2/1к2",Нижегородский,ЮВАО,Андроновка,3.0,10,10,,Административное здание,,,,,,6,cloudscraper
327530388,https://www.cian.ru/rent/commercial/327530388/,Свободное назначение,1320000,1200.0,1100.0,"Конструктора Гуськова, 14с1",Матушкино,ЗелАО,,,2,2,,,,,,,,7,cloudscraper
295111990,https://www.cian.ru/rent/commercial/295111990/,Свободное назначение,197750,85.9,2302.1,"Вернадского, 105",Тропарево-Никулино,ЗАО,Юго-Западная,5.0,-1,3,,Торговый центр,,,,,,23,cloudscraper
330355840,https://www.cian.ru/rent/commercial/330355840/,Свободное назначение,880250,301.8,2916.7,"Орджоникидзе, 11С40",Донской,ЮАО,Ленинский проспект,13.0,1,4,B,Бизнес-центр,,,,,,12,cloudscraper
327992958,https://www.cian.ru/rent/commercial/327992958/,Свободное назначение,1151250,307.0,3750.0,"Огородный, 4/7к1",Бутырский,СВАО,Бутырская,4.0,-1,46,,,,,,,4.4,19,cloudscraper
324608207,https://www.cian.ru/rent/commercial/324608207/,Свободное назначение,7904000,7600.0,1040.0,"Конструктора Гуськова, 14с2",Матушкино,ЗелАО,,,1,3,,,,,,,4.5,10,cloudscraper
328853234,https://www.cian.ru/rent/commercial/328853234/,Свободное назначение,4741092,4063.0,1166.9,,,НАО (Новомосковский),,,1,1,,,,,,,,10,cloudscraper
324606436,https://www.cian.ru/rent/commercial/324606436/,Свободное назначение,3300000,3000.0,1100.0,"Конструктора Гуськова, 14с2",Матушкино,ЗелАО,,,1,3,,,,,,,4.5,9,cloudscraper
330170207,https://www.cian.ru/rent/commercial/330170207/,Свободное назначение,130000,26.0,5000.0,"Холодильный, 3к1с8",Даниловский,ЮАО,Тульская,6.0,2,3,,,,,,,,13,cloudscraper
330356085,https://www.cian.ru/rent/commercial/330356085/,Свободное назначение,1319500,452.4,2916.7,"Орджоникидзе, 11С40",Донской,ЮАО,Ленинский проспект,13.0,1,4,B,Бизнес-центр,,,,,,33,cloudscraper
329978979,https://www.cian.ru/rent/commercial/329978979/,Свободное назначение,24964625,28531.0,875.0,,,ТАО (Троицкий),,,1,1,,,,,,,12.8,10,cloudscraper
313842829,https://www.cian.ru/rent/commercial/313842829/,Свободное назначение,225000,167.5,1343.3,"Строителей, 13К1",Ломоносовский,ЮЗАО,Университет,10.0,-1,5,,,,,,,2.6,10,cloudscraper
328737480,https://www.cian.ru/rent/commercial/328737480/,Свободное назначение,600000,156.0,3846.2,"Бакунинская, 5",Басманный,ЦАО,Бауманская,2.0,3,4,,Жилой дом,,,,,,15,cloudscraper
325400959,https://www.cian.ru/rent/commercial/325400959/,Свободное назначение,398750,191.4,2083.3,"Орджоникидзе, 11С40",Донской,ЮАО,Ленинский проспект,13.0,1,4,B,,,,,,,17,cloudscraper
330036953,https://www.cian.ru/rent/commercial/330036953/,Свободное назначение,6532750,2613.1,2500.0,"Орджоникидзе, 11С32",Донской,ЮАО,Ленинский проспект,9.0,1,2,C,Бизнес-центр,,,,,,23,cloudscraper
329738729,https://www.cian.ru/rent/commercial/329738729/,Свободное назначение,400000,75.9,5270.1,"Андропова, 30",Нагатино-Садовники,ЮАО,Коломенская,2.0,1,9,,Жилой дом,,,,,,4,cloudscraper
318465790,https://www.cian.ru/rent/commercial/318465790/,Свободное назначение,229800,76.6,3000.0,"Дмитровское, 81",Западное Дегунино,САО,Селигерская,6.0,1,2,,Бизнес-центр,,,,,,16,cloudscraper
327992955,https://www.cian.ru/rent/commercial/327992955/,Свободное назначение,693000,198.0,3500.0,"Огородный, 4/7к1",Бутырский,СВАО,Бутырская,4.0,1,47,,,,,,,3.8,19,cloudscraper
315552477,https://www.cian.ru/rent/commercial/315552477/,Свободное назначение,928375,318.3,2916.7,"Береговой, 2",Филевский парк,ЗАО,,,-2,20,,,,,,,,12,cloudscraper
315554880,https://www.cian.ru/rent/commercial/315554880/,Свободное назначение,548542,263.3,2083.3,"Окская, 7А",Рязанский,ЮВАО,Окская,12.0,1,20,,,,,,,,32,cloudscraper
329011587,https://www.cian.ru/rent/commercial/329011587/,Свободное назначение,923138,445.1,2074.0,"4922-й, 4с5",Старое Крюково,ЗелАО,,,1,4,B,,,,,,,9,cloudscraper
328707595,https://www.cian.ru/rent/commercial/328707595/,Свободное назначение,388363,235.8,1647.0,"4922-й, 4с3",Старое Крюково,ЗелАО,,,3,4,,,,,,,,10,cloudscraper
329010621,https://www.cian.ru/rent/commercial/329010621/,Свободное назначение,235814,113.7,2074.0,"4922-й, 4с5",Старое Крюково,ЗелАО,,,1,4,B,,,,,,,11,cloudscraper
327992953,https://www.cian.ru/rent/commercial/327992953/,Свободное назначение,2490000,747.0,3333.3,"Огородный, 4/2",Бутырский,СВАО,Бутырская,4.0,1,55,,,,,,,,24,cloudscraper
319963884,https://www.cian.ru/rent/commercial/319963884/,Свободное назначение,1250000,106.3,11759.2,"Большой Сухаревский, 23С2",Мещанский,ЦАО,Сухаревская,2.0,1,3,B,Административное здание,,,,,,4,cloudscraper
325366836,https://www.cian.ru/rent/commercial/325366836/,Свободное назначение,740000,26.3,28136.9,"Карманицкий, 9",Арбат,ЦАО,Смоленская,1.0,1,1,B,Жилой дом,,,,,,6,cloudscraper
329665464,https://www.cian.ru/rent/commercial/329665464/,Свободное назначение,250000,43.0,5814.0,"Корабельная, 2",Нагатинский затон,ЮАО,Нагатинский Затон,9.0,1,14,,,,,,,,24,cloudscraper
330111707,https://www.cian.ru/rent/commercial/330111707/,Свободное назначение,180000,95.4,1886.8,"Ленинский, 88К2",Ломоносовский,ЮЗАО,Новаторская,7.0,-1,8,,,,,,,,5,cloudscraper
326464653,https://www.cian.ru/rent/commercial/326464653/,Свободное назначение,151958,52.1,2916.7,"Орджоникидзе, 11С40",Донской,ЮАО,Ленинский проспект,13.0,1,4,B,Бизнес-центр,,,,,,14,cloudscraper
326467164,https://www.cian.ru/rent/commercial/326467164/,Свободное назначение,439250,150.6,2916.7,"Орджоникидзе, 11С40",Донской,ЮАО,Ленинский проспект,13.0,1,4,B,Бизнес-центр,,,,,,23,cloudscraper
327727495,https://www.cian.ru/rent/commercial/327727495/,Свободное назначение,100000,25.8,3876.0,"5-я Парковая, 42",Измайлово,ВАО,Первомайская,12.0,1,4,,,,,,,,11,cloudscraper
327508788,https://www.cian.ru/rent/commercial/327508788/,Свободное назначение,181756,114.6,1586.0,"4922-й, 4с3",Старое Крюково,ЗелАО,,,3,4,,,,,,,,7,cloudscraper
330159981,https://www.cian.ru/rent/commercial/330159981/,Свободное назначение,4000000,370.0,10810.8,"Бутырский Вал, 10",Тверской,ЦАО,Белорусская,2.0,1,15,A,,,,,,,5,cloudscraper
328646484,https://www.cian.ru/rent/commercial/328646484/,Свободное назначение,449996,131.6,3419.4,"Пресненская, 6с2",Пресненский,ЦАО,Москва-Сити,5.0,43,60,A,,,,,,,24,cloudscraper
329906795,https://www.cian.ru/rent/commercial/329906795/,Свободное назначение,2000000,160.0,12500.0,"Большая Бронная, 5",Пресненский,ЦАО,Пушкинская,8.0,1,9,,,,,,,,6,cloudscraper
328761263,https://www.cian.ru/rent/commercial/328761263/,Свободное назначение,1400000,689.3,2031.0,"Варшавское, 2",Донской,ЮАО,Тульская,13.0,1,15,,,,,,,,18,cloudscraper
328650039,https://www.cian.ru/rent/commercial/328650039/,Свободное назначение,1600000,235.7,6788.3,,Хамовники,ЦАО,Спортивная,5.0,1,7,,,,,,,,19,cloudscraper
327706283,https://www.cian.ru/rent/commercial/327706283/,Свободное назначение,231129,378.9,610.0,"Конструктора Гуськова, 14с2",Матушкино,ЗелАО,,,2,3,,Административное здание,,,,,,10,cloudscraper
321166296,https://www.cian.ru/rent/commercial/321166296/,Свободное назначение,1045500,612.0,1708.3,"Велозаводская, 3/2",Южнопортовый,ЮВАО,Автозаводская,16.0,-1,7,,Жилой дом,,,,,,12,cloudscraper
322474019,https://www.cian.ru/rent/commercial/322474019/,Свободное назначение,230000,150.0,1533.3,"Электродная, 2С3",Перово,ВАО,Шоссе Энтузиастов,4.0,1,3,,,,,,,,7,cloudscraper
