district,okrug,n_competitors,avg_comp_score,avg_comp_rating
Хамовники,ЦАО,93,0.142,4.39
Арбат,ЦАО,103,0.15,4.39
Тверской,ЦАО,104,0.148,4.55
Пресненский,ЦАО,97,0.145,4.45
Замоскворечье,ЦАО,102,0.142,4.52
Якиманка,ЦАО,100,0.141,4.25
Басманный,ЦАО,99,0.119,4.45
Таганский,ЦАО,104,0.157,4.35
Мещанский,ЦАО,100,0.154,4.51
Красносельский,ЦАО,107,0.137,4.22
Аэропорт,САО,77,0.156,4.52
Сокол,САО,87,0.159,4.48
Беговой,САО,95,0.145,4.44
Тимирязевский,САО,48,0.147,4.32
Савёловский,САО,106,0.143,4.38
Войковский,САО,88,0.155,4.3
Коптево,САО,29,0.113,4.42
Головинский,САО,35,0.122,4.35
Хорошёвский,САО,73,0.141,4.26
Останкинский,СВАО,48,0.13,4.08
Бабушкинский,СВАО,51,0.168,4.35
Свиблово,СВАО,28,0.138,4.42
Алексеевский,СВАО,86,0.15,4.43
Марьина роща,СВАО,65,0.14,4.12
Бутырский,СВАО,65,0.142,4.36
Ростокино,СВАО,35,0.158,4.24
Отрадное,СВАО,56,0.166,4.28
Бибирево,СВАО,54,0.123,4.46
Сокольники,ВАО,89,0.154,4.34
Измайлово,ВАО,34,0.148,4.31
Преображенское,ВАО,84,0.148,4.33
Богородское,ВАО,26,0.128,3.99
Перово,ВАО,53,0.13,4.19
Новогиреево,ВАО,55,0.132,4.26
Вешняки,ВАО,32,0.134,3.89
Люблино,ЮВАО,32,0.117,4.21
Марьино,ЮВАО,66,0.143,3.89
Текстильщики,ЮВАО,44,0.156,4.07
Кузьминки,ЮВАО,62,0.135,3.97
Рязанский,ЮВАО,67,0.138,4.07
Нижегородский,ЮВАО,28,0.116,2.77
Лефортово,ЮВАО,38,0.136,4.21
Даниловский,ЮАО,85,0.148,4.46
Донской,ЮАО,54,0.137,4.61
Чертаново Центральное,ЮАО,40,0.111,4.37
Чертаново Северное,ЮАО,73,0.133,4.15
Нагорный,ЮАО,65,0.125,3.99
Царицыно,ЮАО,29,0.142,3.4
Орехово-Борисово Северное,ЮАО,29,0.114,3.98
Гагаринский,ЮЗАО,44,0.143,4.4
Академический,ЮЗАО,61,0.149,4.47
Обручевский,ЮЗАО,74,0.134,4.41
Коньково,ЮЗАО,46,0.15,4.08
Ломоносовский,ЮЗАО,74,0.132,4.29
Черёмушки,ЮЗАО,72,0.134,4.21
Ясенево,ЮЗАО,38,0.142,4.36
Раменки,ЗАО,84,0.139,4.53
Дорогомилово,ЗАО,45,0.135,4.23
Кунцево,ЗАО,18,0.149,4.33
Крылатское,ЗАО,55,0.154,4.48
Фили-Давыдково,ЗАО,52,0.135,4.02
Можайский,ЗАО,39,0.127,3.79
Очаково-Матвеевское,ЗАО,33,0.152,4.37
Тропарёво-Никулино,ЗАО,83,0.144,4.24
Строгино,СЗАО,42,0.14,4.28
Хорошёво-Мнёвники,СЗАО,74,0.129,4.21
Щукино,СЗАО,50,0.158,4.16
Северное Тушино,СЗАО,59,0.144,4.3
Южное Тушино,СЗАО,20,0.122,4.6
Митино,СЗАО,59,0.133,4.61
