district,okrug,population,income_index,avg_salary,core_coffee,core_beauty,core_pickup,Кофейня,Салон красоты,ПВЗ,total
Академический,ЮЗАО,114228,1.08,89370,27871.631999999998,25244.388,74476.656,30101,27264,68960,126325
Алексеевский,СВАО,77681,0.95,78612,18954.164,17167.501,50648.012,18006,16309,53314,87629
Алтуфьевский,СВАО,55741,0.95,78612,13600.804,12318.761,36343.132,12921,11703,38256,62880
Арбат,ЦАО,36246,1.35,111713,8844.024,8010.366,23632.392,11939,10814,17505,40258
Аэропорт,САО,81833,1.05,86888,19967.252,18085.093,53355.116,20966,18989,50814,90769
Бабушкинский,СВАО,88627,0.95,78612,21624.988,19586.567,57784.804000000004,20544,18607,60826,99977
Басманный,ЦАО,111289,1.35,111713,27154.516,24594.869,72560.428,36659,33203,53748,123610
Беговой,САО,43190,1.05,86888,10538.36,9544.99,28159.88,11065,10022,26819,47906
Бескудниковский,САО,79896,1.05,86888,19494.624,17657.016,52092.192,20469,18540,49612,88621
Бибирево,СВАО,158797,0.95,78612,38746.468,35094.137,103535.644,36809,33339,108985,179133
Бирюлёво Восточное,ЮАО,156160,0.88,72820,38103.04,34511.36,101816.32,33531,30370,115700,179601
Бирюлёво Западное,ЮАО,85308,0.88,72820,20815.152,18853.068,55620.816,18317,16591,63205,98113
Богородское,ВАО,107571,0.9,74475,26247.324,23773.191,70136.292,23623,21396,77929,122948
Братеево,ЮАО,101271,0.88,72820,24710.124,22380.891,66028.692,21745,19695,75033,116473
Бутырский,СВАО,71703,0.95,78612,17495.532,15846.363,46750.356,16621,15054,49211,80886
Вешняки,ВАО,119585,0.9,74475,29178.739999999998,26428.285,77969.42,26261,23785,86633,136679
Войковский,САО,72173,1.05,86888,17610.212,15950.233,47056.796,18491,16748,44816,80055
Восточное Дегунино,САО,101167,1.05,86888,24684.748,22357.907,65960.884,25919,23476,62820,112215
Восточное Измайлово,ВАО,73857,0.9,74475,18021.108,16322.397,48154.764,16219,14690,53505,84414
Восточный,ВАО,12454,0.9,74475,3038.776,2752.334,8120.008000000001,2735,2477,9022,14234
Выхино-Жулебино,ЮВАО,241326,0.85,70338,58883.544,53333.046,157344.552,50051,45333,185111,280495
Гагаринский,ЮЗАО,80493,1.08,89370,19640.292,17788.953,52481.436,21212,19212,48594,89018
Головинский,САО,106612,1.05,86888,26013.327999999998,23561.252,69511.024,27314,24739,66201,118254
Гольяново,ВАО,164715,0.9,74475,40190.46,36402.015,107394.18000000001,36171,32762,119327,188260
Даниловский,ЮАО,104272,0.88,72820,25442.368,23044.112,67985.344,22389,20279,77256,119924
Дмитровский,САО,103496,1.05,86888,25253.024,22872.616,67479.392,26516,24016,64266,114798
Донской,ЮАО,51291,0.88,72820,12515.003999999999,11335.311,33441.732,11013,9975,38002,58990
Дорогомилово,ЗАО,75669,1.2,99300,18463.236,16722.849,49336.188,22156,20067,41113,83336
